"","year","Community.Name","PCTUNEMPLD","PCTNODIPLOMA","PCTPOV","PCTFEMALESEPARATD","POPWNPCT","PCTHFOFMNOHS","POP0_5PCT","PCTSPKENGNTWL","PCTFORBRN","PUBLICASSIST","PCT65POV","PCTFMINPOV","PCTCHLDPOV","PCTEMPFEMA","PCTLABFORCE","PCTRECSOC","MED_GRRNT","MED_MTMRG","HUMNR","PCTMBLHM","PCTAGRFRFSH","POPDENS"
"219","2016","Benicia, CA",4.1,2.7,7.1,1.3,60.9,12.1,5.3,5.3,12.3,2.6,5.4,5.9,7.6,59,65.6,30.3,1429,2279,5.6,2.1,0.6,2148.7
"220","2016","Berkeley, CA",4.5,1.9,19.9,1.5,55.5,8,3.8,6.6,20.6,1.7,9.9,5.7,8.6,55.4,62.4,23.8,1434,2869,4.4,0.3,0.4,11330.8
"221","2016","Berkeley/Bayville, NJ",4.1,8.6,7.5,1.3,89.4,8.9,3.4,3.3,7,1.9,6.2,6.1,12.9,36,43.5,66,1289,1460,5.3,0.6,0.1,969.1
"222","2016","Berlin, MD",2.7,6.5,10.8,1.4,70.9,13.7,8.7,1.1,5.6,1.7,10.7,8.9,18.4,61.6,64.6,35.1,893,1657,5.7,0.4,0,1440.7
"223","2016","Berlin, NJ",4.7,5.9,6.6,1.6,85.3,11.1,5.8,0.7,2.9,4.5,5.9,4,2.5,54.4,63.2,34.5,982,1969,6.6,0,0,2122.2
"224","2016","Bertsch-Oceanview, CA",8.7,13.5,35.1,3.3,67.8,15.9,3.3,1.1,4,5.8,15.6,25.4,47.1,46,53,37.4,826,1392,4.7,22.7,6,389.4
"225","2016","Berwick, LA",1.5,14,21.5,0.9,80.3,11,9.3,1.2,1.1,1.9,13.7,15.4,19.4,39.2,56.1,27.4,591,1125,4.9,17.1,17.3,809.8
"226","2016","Berwick, ME",3.7,1.9,0.9,2,92.4,2.1,7.6,0,0,8.4,4.3,0,0,71.2,78.5,27.4,972,1466,5.5,12.3,0,1483
"227","2016","Bethany, CT",4.5,2.1,2.5,0.2,86.4,5.8,4.1,2.7,10.9,2.8,1.6,1.8,2,58.2,68.9,28,1115,2578,7.2,3.7,1.1,261.8
"228","2016","Bethel Island, CA",1.3,8.2,9.1,0,76.8,4.1,4.6,3.8,2.9,1.9,6.4,6.1,20.3,37.6,36.4,69.2,1245,1630,4.6,39.2,1.5,392.7
"229","2016","Bethel, AK",6.9,6.7,14.1,3.1,23.4,16.6,9.7,6.9,4.6,6,4.6,13.1,17.9,63.5,70.7,14,1373,1936,3.8,6.4,0,150.4
"230","2016","Bethel, CT",5.6,4,3.9,1.2,80.7,10.4,4.6,7.7,17.1,1.6,10,3.3,1.5,67.8,77.5,21.8,1380,2158,5.7,0,0.1,2333.1
